unique.ID	lane.ID	group.ID	sample.ID	qc.data.dir	input.read.pair.count	multi.mapped.read.pair.count
Bone7_BALB_CJ	1	Bone_BALB_CJ	Bone7_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Bone7/	.	.
Bone9_BALB_CJ	1	Bone_BALB_CJ	Bone9_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Bone9/	.	.
Clone2o_BALB_CJ	1	Clone_BALB_CJ	Clone2o_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Clone2o/	.	.
Clone3N_BALB_CJ	1	Clone_BALB_CJ	Clone3N_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Clone3N/	.	.
Clone3o_BALB_CJ	1	Clone_BALB_CJ	Clone3o_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Clone3o/	.	.
liver4_BALB_CJ	1	liver_BALB_CJ	liver4_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_liver4/	.	.
liver9_BALB_CJ	1	liver_BALB_CJ	liver9_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_liver9/	.	.
Scr2N_BALB_CJ	1	Scr_BALB_CJ	Scr2N_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Scr2N/	.	.
Scr2o_BALB_CJ	1	Scr_BALB_CJ	Scr2o_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Scr2o/	.	.
Scr3N_BALB_CJ	1	Scr_BALB_CJ	Scr3N_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Scr3N/	.	.
Scr3o_BALB_CJ	1	Scr_BALB_CJ	Scr3o_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Scr3o/	.	.
Clone2N_BALB_CJ	1	Clone_BALB_CJ	Clone2N_BALB_CJ	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_BALB_CJ_QC/Sample_Clone2N/	.	.
Bone7_Human	1	Bone_Human	Bone7_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Bone7/	.	.
Bone9_Human	1	Bone_Human	Bone9_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Bone9/	.	.
Clone2o_Human	1	Clone_Human	Clone2o_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Clone2o/	.	.
Clone3N_Human	1	Clone_Human	Clone3N_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Clone3N/	.	.
Clone3o_Human	1	Clone_Human	Clone3o_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Clone3o/	.	.
liver4_Human	1	liver_Human	liver4_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_liver4/	.	.
liver9_Human	1	liver_Human	liver9_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_liver9/	.	.
Scr2N_Human	1	Scr_Human	Scr2N_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Scr2N/	.	.
Scr2o_Human	1	Scr_Human	Scr2o_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Scr2o/	.	.
Scr3N_Human	1	Scr_Human	Scr3N_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Scr3N/	.	.
Scr3o_Human	1	Scr_Human	Scr3o_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Scr3o/	.	.
Clone2N_Human	1	Clone_Human	Clone2N_Human	/crex/proj/snic2020-16-70/nobackup/private/tmp_4882/intermediate/XenofilteR_GSNAP_Human_QC/Sample_Clone2N/	.	.
